Corrected upload audit
DB rows: 1478
Existing: 0
Missing: 1478

--- Missing file rows ---
FileID=1675, Contract=26-용역-050-01, Original=기술협상서.pdf, FilePath=/static/uploads/2026/20260811_150214_기술협상서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_150214_기술협상서.pdf_temp
FileID=1674, Contract=26-용역-050-01, Original=공고문.pdf, FilePath=/static/uploads/2026/20260811_150209_공고문.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_150209_공고문.pdf_temp
FileID=1673, Contract=26-용역-050-01, Original=용역계약서초안.pdf, FilePath=/static/uploads/2026/20260811_150206_용역계약서초안.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_150206_용역계약서초안.pdf_temp
FileID=1672, Contract=26-용역-050-01, Original=제안요청서.pdf, FilePath=/static/uploads/2026/20260811_150150_제안요청서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_150150_제안요청서.pdf_temp
FileID=1671, Contract=26-용역-050-00, Original=제안요청서.pdf, FilePath=/static/uploads/2026/20260811_144425_제안요청서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_144425_제안요청서.pdf_temp
FileID=1670, Contract=26-용역-050-00, Original=공고문.pdf, FilePath=/static/uploads/2026/20260811_144136_공고문.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_144136_공고문.pdf_temp
FileID=1669, Contract=26-용역-050-00, Original=용역계약서초안.pdf, FilePath=/static/uploads/2026/20260811_144048_용역계약서초안.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_144048_용역계약서초안.pdf_temp
FileID=1668, Contract=26-용역-050-00, Original=기술협상서.pdf, FilePath=/static/uploads/2026/20260811_144036_기술협상서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260811_144036_기술협상서.pdf_temp
FileID=1667, Contract=26-검토-064, Original=제안요청서_정선군도로기반지하시설물전산화확산사업2단계.pdf, FilePath=/static/uploads/2026/20260810_130201_제안요청서_정선군도로기반지하시설물전산화확산사업2단계.pdf_26-검토-064, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260810_130201_제안요청서_정선군도로기반지하시설물전산화확산사업2단계.pdf_26-검토-064
FileID=1666, Contract=26-검토-064, Original=과업지시서_정선군도로기반지하시설물전산화확산사업2단계.pdf, FilePath=/static/uploads/2026/20260810_130201_과업지시서_정선군도로기반지하시설물전산화확산사업2단계.pdf_26-검토-064, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260810_130201_과업지시서_정선군도로기반지하시설물전산화확산사업2단계.pdf_26-검토-064
FileID=1665, Contract=26-검토-064, Original=공고문_정선군도로기반지하시설물전산화확산사업2단계.pdf, FilePath=/static/uploads/2026/20260810_130201_공고문_정선군도로기반지하시설물전산화확산사업2단계.pdf_26-검토-064, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260810_130201_공고문_정선군도로기반지하시설물전산화확산사업2단계.pdf_26-검토-064
FileID=1664, Contract=26-검토-068, Original=설계예산서_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf, FilePath=/static/uploads/2026/20260807_163323_설계예산서_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf_26-검토-068, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260807_163323_설계예산서_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf_26-검토-068
FileID=1663, Contract=26-검토-068, Original=과업지시서_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf, FilePath=/static/uploads/2026/20260807_163323_과업지시서_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf_26-검토-068, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260807_163323_과업지시서_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf_26-검토-068
FileID=1662, Contract=26-검토-068, Original=공고문_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf, FilePath=/static/uploads/2026/20260807_163323_공고문_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf_26-검토-068, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260807_163323_공고문_제2경인선남인천TG양방향졸음쉼터신설공사실시설계엔지니어링.pdf_26-검토-068
FileID=1661, Contract=26-검토-066, Original=제안요청서2026년지하시설물상수도정보수정갱신사업변경최종.pdf, FilePath=/static/uploads/2026/20260807_155611_제안요청서2026년지하시설물상수도정보수정갱신사업변경최종.pdf_26-검토-066, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260807_155611_제안요청서2026년지하시설물상수도정보수정갱신사업변경최종.pdf_26-검토-066
FileID=1660, Contract=26-검토-066, Original=과업지시서2026년지하시설물상수도정보수정갱신사업.pdf, FilePath=/static/uploads/2026/20260807_155611_과업지시서2026년지하시설물상수도정보수정갱신사업.pdf_26-검토-066, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260807_155611_과업지시서2026년지하시설물상수도정보수정갱신사업.pdf_26-검토-066
FileID=1659, Contract=26-검토-067, Original=견적서_김포감정물류단지조성사업진입도로도로대장작성용역260807.pdf, FilePath=/static/uploads/2026/20260807_155042_견적서_김포감정물류단지조성사업진입도로도로대장작성용역260807.pdf_26-검토-067, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260807_155042_견적서_김포감정물류단지조성사업진입도로도로대장작성용역260807.pdf_26-검토-067
FileID=1658, Contract=26-용역-049, Original=계약내역서_급수취약지약보개면석우마을일원수도시설확충사업_26.08.05.xlsx, FilePath=/static/uploads/2026/20260806_101949_계약내역서_급수취약지약보개면석우마을일원수도시설확충사업_26.08.05.xlsx_26-용역-049, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260806_101949_계약내역서_급수취약지약보개면석우마을일원수도시설확충사업_26.08.05.xlsx_26-용역-049
FileID=1657, Contract=26-용역-049, Original=과업지시서_급수취약지약보개면석우마을일원수도시설확충사업.pdf, FilePath=/static/uploads/2026/20260806_101944_과업지시서_급수취약지약보개면석우마을일원수도시설확충사업.pdf_26-용역-049, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260806_101944_과업지시서_급수취약지약보개면석우마을일원수도시설확충사업.pdf_26-용역-049
FileID=1656, Contract=26-용역-049, Original=용역계약서.pdf, FilePath=/static/uploads/2026/20260806_101935_용역계약서.pdf_26-용역-049, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260806_101935_용역계약서.pdf_26-용역-049
FileID=1655, Contract=26-용역-048, Original=과업지시서2026년사천시지하시설물상수도정보수정갱신사업.pdf, FilePath=/static/uploads/2026/20260806_101649_과업지시서2026년사천시지하시설물상수도정보수정갱신사업.pdf_26-용역-048, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260806_101649_과업지시서2026년사천시지하시설물상수도정보수정갱신사업.pdf_26-용역-048
FileID=1654, Contract=26-용역-048, Original=용역계약서.pdf, FilePath=/static/uploads/2026/20260806_101628_용역계약서.pdf_26-용역-048, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260806_101628_용역계약서.pdf_26-용역-048
FileID=1652, Contract=26-검토-066, Original=입찰공고문.pdf, FilePath=/static/uploads/2026/20260803_081337_입찰공고문.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260803_081337_입찰공고문.pdf_temp
FileID=1650, Contract=26-검토-065, Original=영동군군도농어촌도로망도.jpg, FilePath=/static/uploads/2026/20260730_183604_영동군군도농어촌도로망도.jpg_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260730_183604_영동군군도농어촌도로망도.jpg_temp
FileID=1649, Contract=26-검토-065, Original=영동군24개군도.png, FilePath=/static/uploads/2026/20260730_183557_영동군24개군도.png_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260730_183557_영동군24개군도.png_temp
FileID=1648, Contract=26-검토-065, Original=영동군_공고문.pdf, FilePath=/static/uploads/2026/20260730_183544_영동군_공고문.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260730_183544_영동군_공고문.pdf_temp
FileID=1647, Contract=26-검토-065, Original=영동군_제안요청서.pdf, FilePath=/static/uploads/2026/20260730_183516_영동군_제안요청서.pdf_temp, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260730_183516_영동군_제안요청서.pdf_temp
FileID=1646, Contract=26-용역-047, Original=용역계약서.pdf, FilePath=/static/uploads/2026/20260727_163537_용역계약서.pdf_26-용역-047, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260727_163537_용역계약서.pdf_26-용역-047
FileID=1645, Contract=26-용역-047, Original=과업지시서용인시자전거노선도DB구축용역.pdf, FilePath=/static/uploads/2026/20260724_111536_과업지시서용인시자전거노선도DB구축용역.pdf_26-용역-047, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260724_111536_과업지시서용인시자전거노선도DB구축용역.pdf_26-용역-047
FileID=1644, Contract=26-용역-047, Original=계약내역서용인시자전거노선도DB구축용역.xlsx, FilePath=/static/uploads/2026/20260724_111434_계약내역서용인시자전거노선도DB구축용역.xlsx_26-용역-047, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260724_111434_계약내역서용인시자전거노선도DB구축용역.xlsx_26-용역-047
FileID=1643, Contract=26-용역-046, Original=2026년고정밀전자지도구축사업8개지구공고문.pdf, FilePath=/static/uploads/2026/20260720_171853_2026년고정밀전자지도구축사업8개지구공고문.pdf_26-용역-046, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260720_171853_2026년고정밀전자지도구축사업8개지구공고문.pdf_26-용역-046
FileID=1642, Contract=26-용역-046, Original=2026년고정밀전자지도구축사업경기성남시제안요청서과업지시서.pdf, FilePath=/static/uploads/2026/20260720_171843_2026년고정밀전자지도구축사업경기성남시제안요청서과업지시서.pdf_26-용역-046, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260720_171843_2026년고정밀전자지도구축사업경기성남시제안요청서과업지시서.pdf_26-용역-046
FileID=1638, Contract=26-용역-045, Original=삼인견적서_지적측량_시흥시계약최종가.pdf, FilePath=/static/uploads/2026/20260715_115051_삼인견적서_지적측량_시흥시계약최종가.pdf_26-용역-045, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260715_115051_삼인견적서_지적측량_시흥시계약최종가.pdf_26-용역-045
FileID=1637, Contract=26-용역-045, Original=용역계약서초안.pdf, FilePath=/static/uploads/2026/20260715_112123_용역계약서초안.pdf_26-용역-045, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260715_112123_용역계약서초안.pdf_26-용역-045
FileID=1636, Contract=26-용역-044, Original=용역계약서초안.pdf, FilePath=/static/uploads/2026/20260703_183318_용역계약서초안.pdf_26-용역-044, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_183318_용역계약서초안.pdf_26-용역-044
FileID=1635, Contract=26-용역-044, Original=급수취약지역서운면오촌마을일원수도시설확충사업GISDB구축용역_계약내역서_26.07.03.pdf, FilePath=/static/uploads/2026/20260703_183314_급수취약지역서운면오촌마을일원수도시설확충사업GISDB구축용역_계약내역서_26.07.03.pdf_26-용역-044, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_183314_급수취약지역서운면오촌마을일원수도시설확충사업GISDB구축용역_계약내역서_26.07.03.pdf_26-용역-044
FileID=1634, Contract=26-용역-044, Original=급수취약지역서운면오촌마을일원수도시설확충사업GISDB구축용역_과업지시서.pdf, FilePath=/static/uploads/2026/20260703_183314_급수취약지역서운면오촌마을일원수도시설확충사업GISDB구축용역_과업지시서.pdf_26-용역-044, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_183314_급수취약지역서운면오촌마을일원수도시설확충사업GISDB구축용역_과업지시서.pdf_26-용역-044
FileID=1633, Contract=26-검토-062, Original=용인시노후하수관로정비사업2차GISDB구축용역_과업지시서.pdf, FilePath=/static/uploads/2026/20260703_181542_용인시노후하수관로정비사업2차GISDB구축용역_과업지시서.pdf_26-검토-062, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_181542_용인시노후하수관로정비사업2차GISDB구축용역_과업지시서.pdf_26-검토-062
FileID=1632, Contract=26-검토-062, Original=용인시노후하수관로정비사업2차GISDB구축용역_제안요청서.pdf, FilePath=/static/uploads/2026/20260703_181542_용인시노후하수관로정비사업2차GISDB구축용역_제안요청서.pdf_26-검토-062, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_181542_용인시노후하수관로정비사업2차GISDB구축용역_제안요청서.pdf_26-검토-062
FileID=1631, Contract=26-검토-061, Original=2026년열수송관위치정확도개선용역2권역_과업지시서.pdf, FilePath=/static/uploads/2026/20260703_180948_2026년열수송관위치정확도개선용역2권역_과업지시서.pdf_26-검토-061, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_180948_2026년열수송관위치정확도개선용역2권역_과업지시서.pdf_26-검토-061
FileID=1630, Contract=26-검토-061, Original=2026년열수송관위치정확도개선용역2권역_제안요청서.pdf, FilePath=/static/uploads/2026/20260703_180948_2026년열수송관위치정확도개선용역2권역_제안요청서.pdf_26-검토-061, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_180948_2026년열수송관위치정확도개선용역2권역_제안요청서.pdf_26-검토-061
FileID=1629, Contract=26-검토-059, Original=댐사고3대취약시설통합안전망확대구축사업실시설계용역_공내역서.xlsx, FilePath=/static/uploads/2026/20260703_180802_댐사고3대취약시설통합안전망확대구축사업실시설계용역_공내역서.xlsx_26-검토-059, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_180802_댐사고3대취약시설통합안전망확대구축사업실시설계용역_공내역서.xlsx_26-검토-059
FileID=1628, Contract=26-검토-059, Original=댐사고3대취약시설통합안전망확대구축사업실시설계용역_과업지시서.pdf, FilePath=/static/uploads/2026/20260703_180800_댐사고3대취약시설통합안전망확대구축사업실시설계용역_과업지시서.pdf_26-검토-059, Candidate=C:\Users\User\Desktop\PMS\static\uploads\uploads\2026\20260703_180800_댐사고3대취약시설통합안전망확대구축사업실시설계용역_과업지시서.pdf_26-검토-059
